id,text,source,created_at,user_id,retweet_count,username,user_desc,location,verified
1494087379195293698,RT @Reuters: The relatively short shelf life of AstraZeneca's COVID-19 vaccine is complicating the rollout to the world's developing nation…,Twitter for Android,2022-02-16T23:12:44.000Z,1451748372222599169,24,Emerald_REAgain,"#貓控 #Cat🐱
#フクロウ控 #Owl🦉 
#Wish That Country END within this Year.",,False
1494075366570446856,Israel to offer AstraZeneca's Evusheld to immunocompromised people https://t.co/VepO7ch2Sy,Twitter for Android,2022-02-16T22:25:00.000Z,37928746,0,Hephaestus7,"Samuel Miller, 65, a DS specialist, is accusing the British government of employing draconian austerity measures to murder its sick and disabled citizens.",Canada,False
1494070880237985793,"their bonuses won’t earn themselves

@AlbertBourla @Pascalsoriot @AstraZeneca @pfizer https://t.co/mAyNqXgkvY https://t.co/W9LqHA1QBd",Twitter for iPhone,2022-02-16T22:07:11.000Z,1700306958,0,btcede,Building on #Bitcoin at @xsatoshis https://t.co/2afRnBdYJw. physics al @imperialcollege. software. history. nature. | https://t.co/OXZNe4pmqb Pronouns: refuse/nik,Virgo Supercluster,False
1494072009847984135,RT @DrJohnB2: Recurrent Kounis Syndrome (an acute coronary syndrome) – a life-threatening event after #CovidVaccination (AstraZeneca): http…,Twitter Web App,2022-02-16T22:11:40.000Z,1442580175393157121,115,Ca45132402,,,False
1494071713226653696,RT @DrJohnB2: Recurrent Kounis Syndrome (an acute coronary syndrome) – a life-threatening event after #CovidVaccination (AstraZeneca): http…,Twitter Web App,2022-02-16T22:10:29.000Z,1481845296883650561,115,CanadaSOS1,"Canada has become a fascist hellhole...we need help.  #NoVaccinePassports #NoVaccineMandates Freedom, truth, informed consent, medical/bodily autonomy.",Canada,False
1494077482978316288,"RT @ussuricat1: @TheMarcitect @PierrePoilievre A Cesspool Of Corruption In Ottawa: AstraZeneca Maker, Emergent BioSolutions, Lobbying All F…",Twitter Web App,2022-02-16T22:33:25.000Z,1446313881190551552,2,thighiguy,I did it my way,B.C. Canada,False
1494085421864734724,@UK_Centrist @bread_baking @Unusual_Times @cocobelladoodle I honestly think AstraZeneca and other vaccines and antibody monotherapy has pushed this virus to levels of immune escape  earlier than it’s would have naturally occurred and I believe if it has happened naturally over the course of a decade then it would’ve been balanced out 😬,Twitter for iPhone,2022-02-16T23:04:57.000Z,1324793581715005445,0,islandofcovid,"4th vaccine not viable, will only be given to the most vulnerable , prepare yourself !",,False
1494093592914190344,Another person I know in the UK in hospital with blood clots on her lungs thanks to the #AstraZeneca #VaccineSideEffects @theysayitsrare,Twitter for Android,2022-02-16T23:37:26.000Z,19498746,1,buckyouhorses,"Life was great. Then my partner of 21 years got the AZ vaccine & died as a direct result. Now i'm picking up the pieces, adopting dogs and trying to get justice",The mountains,False
1494087397054763023,static post https://t.co/P0jwslFVsV,Twitter Web App,2022-02-16T23:12:48.000Z,592138427,0,bewisercomua,,,False
1494072919109996546,5th Sunhak Peace Prize Award Ceremony Live. Professor Dame Sarah Gilbert DBE is awarded the Sunhak Peace Prize for the development of the non-profit AstraZeneca Vaccine used for 2.5 billion people in 60 nations. Presented by H.E. Jose Manuel Barosso Chair of #SHPP Committee https://t.co/ihWR4cx9jN,Post Planner Inc.,2022-02-16T22:15:17.000Z,30966484,1,rtmarsh,"Peace, Development and Faith. One Family of Humanity Under A Loving God. Interdependence, Mutual Prosperity and Universal Values. Family and Human Rights.",London,False
