tweet_id,user_id,username,text,like_count,retweet_count,location,creation_date_time
1502959853635239940,84204994,mackattackone,Then why is there an overwhelming sinovac uptake in elderly Might want to rethink your statement.,0,0,No Location,2022-03-13
1502958946377740288,697443656706453504,RockTrolla,Only 50 sinovac Is it Right?,0,0,Ubicuo,2022-03-13
1502954945712033792,1231486724087222272,Transit_Jam,The nursing homes provided Sinovac but delayed for weeks so the guy could have BioNTech what gives Did doctor say he was unsuitable for Sinovac Or just anti-sinovac propaganda and misinformation working it’s dangerous magic?,0,0,Hong Kong,2022-03-13
1502953689643986944,742763463597031424,AFranzsen,China attempted zero covid policy which succeeded in minimizing infections. The Sinovac vaccine has proven less effective than those used in the West especially against delta and omicron. Result they do not have any level of natural immunity &amp their vaccine protection is low.,0,0,No Location,2022-03-13
1502951039183556609,969429491855618048,KCMO_Neal,Could this just be due to the waning protection of #Sinovac #CovidIsNotOver #BA2,2,0,"Kansas City, MO",2022-03-13
1502949240896585730,46870495,CNguyenEc,I think around 30 of HK elderly received Sinovac as base-vaccination Boosters in Indonesia are Pfizer and Moderna for those who got Sinovac as base-vaccination.,1,0,Jakarta Capital Region,2022-03-13
1502947475661164549,14276011,kjoules,Based on the percentage of elderly age 80 that was fully vaccinated two weeks ago this would imply that the vaccines are approximately 79 effective against death for those 80+. Please don’t ask me to distinguish Sinovac from BioNTech,4,0,香港 Hong Kong,2022-03-13
1502947415791325188,714171528422797312,Chelseachemist1,Can you show me saying that sinovac was the most important problem or are you putting words in my mouth?,0,0,Singapore via London ,2022-03-13
1502947251835969536,2838659616,DzLe77,Anyway insist ZeroCovid is still a good measurement to slow the spread. Why vaxx rate of 80 is so low? What type of Chinese boosters? Indonesia pop (mostly use Sinovac is younger lower vaxx and the situation gets worse recently.,1,0,Vietnam,2022-03-13
1502947106482442242,615869291,ValentinThoss,Sinovac and 2 instead of 3 doses are a problem But by far not the most important one,0,0,No Location,2022-03-13
1502943585276071941,714171528422797312,Chelseachemist1,Sinovac absolutely is part of the problem anything less than 3 doses of it is useless against omicron unfortunately,0,0,Singapore via London ,2022-03-13
1502941305608937472,1244524673620004864,PaulM16371943,The emerging risk is COVID breaking out in China which is more likely with Omicron Given weak Sinovac effectiveness cases would overwhelm the hospital system,0,0,No Location,2022-03-13
1502937083056648192,783346051205898240,smartyglen,Covid Revealed #vaccineinjuries #vaccine #lockdown #vaccinedeaths #fda #vaccineadverseeffects #philhealth #facemask #vaccinepassport #sinovac #sputnikv #moderna #kabayan #ofw #doh #duque #duterte #astraseneca #faceshield #pfizer #vaccinesideeffects,0,0,united staes,2022-03-13
1502932978330222596,615869291,ValentinThoss,The problem is not sinovac but the unvaccinated,0,0,No Location,2022-03-13
1502932701443207168,777535696823316480,BerndDueppmann,1 Are there plans about a mRNA vax campaign in China Sinovac is partial garbage. 2 Why is China able to do one of the hardest measurements in the world but unable to get the older people vax ratio up to 95%?,0,0,"Cologne, Germany",2022-03-13
1502931446117601280,1452467137218428929,theholywifi,Sinovac and Cansino doesnt work,4,1,Kuala Lumpur,2022-03-13
1502931117007024131,3851289133,minaisen,"MRNA vaccines more effective but Sinovac still much better than ""natural immunity at preventing serious illness and death particularly if boosted.",0,0,No Location,2022-03-13
1502925083328724994,35821850,sarfeo,do you have a link I can't find statistics pitting sinovac against biontech etc.,0,0,No Location,2022-03-13
1502924879896604674,1468049017699323905,FeliceHalse,I think the worry is whether Sinovac is not effective enough to protect them Kids don’t have great immune systems from 2 years of isolating and avoiding each other,0,0,No Location,2022-03-13
1502924588220563459,1241133930780200960,BestArticleNet,Sinovac gets green light for pediatric vaccination #BestArticle,0,0,No Location,2022-03-13
1502922369588887552,1284401422105227266,Nemesis_Alert,Not an entirely crazy interpretation of this data sliced by national income &amp region SGP popn is: 95+ 2 shot mRNA 70 3 shot mRNA Ignore the 200k who chose SinoVac🤷🏻🇨🇳 4 wks US equiv of 930k to 1.5 million new cases/day Are there changes in BA.X which infect vaxed ppl better?,0,0,"Mentone, Melbourne",2022-03-13
1502918549307678721,1376381562623680515,JDandFriends,2 Sinovac recovery still requires a third dose?,0,0,No Location,2022-03-13
1502918245019709444,1433948019972468736,Dharma37672498,Which vaccines are good at? The MRna vaccine or Sinovac??,0,0,No Location,2022-03-13
1502918238501494784,28661757,rjpark,Is Sinovac useless as well?,0,0,"iPhone: 54.518932,-1.547398",2022-03-13
1502916367330160641,2271463411,irislshangxx,#JustIn 💉The JSC-EAP found that NO further vaccination is required for those who just rehabbed and already jabbed 2 doses of #BNT or 3 doses of #Sinovac #HongKong #Covid19,2,0,HongKong,2022-03-13
1502913061891756033,265838218,TheUmaK2,So this girl who was supposed to give the correct forms gave a Sinovac form to a Pzifer patient and led her down the Sinovac channel Soo the patient was given a Sinovac shot and only was discovered at the last station where you get your digital vaccination.,0,0,Kuala Lumpur Federal Territory,2022-03-13
1502913060218208258,265838218,TheUmaK2,Female privilege is real. Let me tell you an experience I went through while working at a PPV My PPV runs both Sinovac and Pzifer programs And they are separated by different channels to avoid confusion.,0,0,Kuala Lumpur Federal Territory,2022-03-13
1502912957101101057,3204731,krislc,gathered information as to how sinovac works in this case for application in mainland China now,4,1,Hong Kong/London,2022-03-13
1502912270560497664,1410470435192406016,Micha28182631,Any stats on infections in the vaccinated population broken down by vaccine type How are the mRNA vaccines doing versus Sinopharm/Sinovac?,0,0,No Location,2022-03-13
1502911649594089474,120339602,_discorabbit,For kids Pfizer 8 weeks Sinovac 4 weeks.,0,0,"Putrajaya, Malaysia",2022-03-13
1502909939865595910,1228859007290314752,StrosHitByPitch,Lmfao sorry but I’m not in CCP land where lockdowns are still happening and they’re still having outbreaks of the CCP virus They’re still giving out the Sinovac that’s not even effective at all I think China is the last place where it’s still a pandemic.,0,0,"Houston, TX",2022-03-13
1502909910207844352,1449670701498069000,freewoman_88,Sinovac expired another teacher RIP Stop the vaccination programs,7,4,Somewhere,2022-03-13
1502908328367722496,1392876358229921793,nobsfromme,I really have no idea But if you look at what has happened in other countries with high use of Sinovac I believe that while there may have been more breakthrough cases it did protect against serious illness and death.,1,0,No Location,2022-03-13
1502903796694880257,1253981713102827520,HelsenKristiaan,If HK is the model (which follows in China s footsteps the pandemic in China will soon be devastating especially w the use of subpar vaccines (most of the death who were vaccinated in hk and Singapore used sinovac),1,0,"Sai Kung District, Hong Kong",2022-03-13
1502895962187988992,1407791097812709377,RecoveryTrade,The elderlies overwhelmingly used Sinovac It works better than nothing Can boost with BioNTech.,1,0,Hong Kong,2022-03-13
1502893795251146754,1156273018777194496,PBRStreetGang7,The Chinese vaccine Sinovac won’t help against Omicron Singapore uses Pfizer &amp Moderna.,0,0,United States,2022-03-13
1502893600010559489,1116275811609391106,PaulMainwood,China has a smaller proportion of the oldest than Hong Kong and “about 50% is an improvement on “about 30% (even if both mostly Sinovac) But even allowing for that the slow-motion car crash of Hong Kong looks ready to be replicated a bit slower and ~100x bigger,26,9,No Location,2022-03-13
1502891751144837123,3787822172,Akjain1997,Sinovac giving great results!,0,0,"Surat, Gujarat",2022-03-13
1502890092532502528,1347243174322835462,ChefMiew,I would be cautious This variant is hitting HK very hard It may be more contagious than usual. For the unvaxxed in HK its deadly I'm not sure how well Sinovac vaxxed people will resist it.,0,0,Hong Kong,2022-03-13
1502890039143026688,80532194,ElevatdElephant,sinovac vaccine was trash Moderna is the best.,0,0,No Location,2022-03-13
1502889815552888839,19210918,jenfns,Don’t you think the death rate can be explained by density and low rates of vax among the elderly I’m not sure we can say anything about Sinovac from this data.,0,0,"Moscow, Idaho",2022-03-13
1502888298045652996,1442499840991129601,BobsYou82437555,And almost twice as much chance to die with sinovac at BioNTech Sinovac is doing a good job but not as good As expected.,0,0,Hong Kong,2022-03-13
