id,text,source,created_at,user_id,retweet_count,username,user_desc,location,verified
1494095217322074113,"@YaniAynen @sputnik_TR İşte,bizde kayıt dışı artı Asgeri ücretli sayısı çok fazla vakit geçirmeden tecrübeye dayalı saat ücretine geçilmeli mesela koskoca Vestel asgeri ücretli çalıştıramamalı problem bizde bu Adam akşama kadar teknik iş yapıyor ama patlıcan toplayan ile aynı maaşı alıyor olmaz bu",Twitter for Android,2022-02-16T23:43:53.000Z,1461735330336415749,0,Kaancan75_,,,False
1494098004369805313,RT @txt_tubatu: The fact that Huening Kai produced Dear Sputnik at 18 is insane,Twitter for Android,2022-02-16T23:54:57.000Z,1161364850129244160,374,aevxna_,"txt, only one. (she/her)",,False
1494097470447443969,"RT @semprelibera914: @Sputnik_001 良いですね〜💕
ステキな一日をお過ごしください🎵",Twitter for iPhone,2022-02-16T23:52:50.000Z,208469610,1,Sputnik_001,クラシックはライフワーク。他にはクルマとワイン、ジャズとボクシングが好き。J-WAVE「モーニングクラシック」で毎朝クラシックを紹介しているほか、JALの機内クラシックチャンネルの構成も行うクラシックソムリエ協会旗振り役。モーニングクラシックへのメッセージお待ちしています！,,False
1494098676494790656,"RT @TernovskyVictor: Ante la humillación por el fracaso de su cuento sobre la ‘invasión’ rusa, la prensa occidental carga contra #Sputnik y…",Twitter for iPhone,2022-02-16T23:57:38.000Z,517025642,73,Robin_Fridai,"Soci del FCB , aficionat al West Ham United ! Futbol , Vespa & Lambretta , Reggae , Montanya ! Where we come from…",,False
1494095572751552517,"RT @V_arubina: すいません日にち入れ忘れてました
BAR Sputnikは次回二部制になります

次回オープン2月19日土曜です
第一部20:45〜22:50
PHAZE(@phaze_vr )一周年記念
「PHAZEワンマン配信@イベント会場」

第二部は23:…",Twitter for iPhone,2022-02-16T23:45:18.000Z,1255194498390355968,6,akixnaa,バーチャルシンガー悪魔っ狐のあき ☆ Singing fox-devil Aki ☆『PHAZE』のボーカル🎤 #PHAZE_VR @phaze_vr ☆ アイコン @hyko___ ☆ コラボやイベントのお誘いはDMへ👀 ☆ 🇺🇸 & 🇩🇪 OK ☆ 干し芋 https://t.co/Bbsus8Tqpj,ドイツ,False
1494096945983508486,RT @boutaour: Pr Claverie sur le raccourcissement des doses : on tombe dans l’illégalité.. les amm conditionnelle précisent qu’il ne faut p…,Twitter for iPhone,2022-02-16T23:50:45.000Z,77491434,1031,napstter,,"Paris, France",False
1494095316378816514,"@isa08376412 A mí mamá.
88 años, una sputnik.
Dos veces d jo de ver de un ojo el mismo día, por 15 minutos.
Se acostó un rato y paso.
A los 25 días tomografía y no encontraron nada.
No se repitió.",Twitter for Android,2022-02-16T23:44:17.000Z,1372146932131508224,1,claudiogn64d,"El fin del estado es proteger el bien común desde el derecho natural.
Muerto asintomático.
Vegano no practicante.
Sobreviviendo pajaritazos.","Larratalandia, Peronia.",False
1494097044507709440,is he vaccinated with Sputnik https://t.co/MXECTkqBvY,Twitter Web App,2022-02-16T23:51:09.000Z,2228376158,0,KPryshchepa,Ukraine and beyond,,False
1494096500078559235,RT @txt_tubatu: The fact that Huening Kai produced Dear Sputnik at 18 is insane,Twitter for Android,2022-02-16T23:48:59.000Z,1267589372016242698,374,Tamy47065857,"ONLY MOA
HAGAN STREAM MOAS!
BESTIE DE @StarHwChaos04 🥰",,False
1494097796139520013,"@rs_sputnik „Амерички политичари су лагали, лажу и лагаће, стварајући изговоре за нападе на мирне грађане по целом свету. То је свима познато. Замолила бих амерички политички естаблишмент да не узима на душу још једна грех, али нисам сигурна да је они имају“, написала је Захарова",Twitter Web App,2022-02-16T23:54:08.000Z,3053067741,0,KrajisnikMico,"""Srbin koji sarađuje sa vladom Srbije""",,False
