tweet_id,user_id,username,text,like_count,retweet_count,location,creation_date_time
1502933227991822338,954212951497564160,TimmyTate66,Double vaxxed w Pfizer and boosted Moderna No Covid yet 🤞🏼,0,0,"Tennessee, USA",2022-03-13
1502933156655435777,1320331014124695552,TheosTina,Moderna tried for 10 years to make mRNA technology work. The mice all died. ⚠️The nano-particle delivery technology becomes toxic when administered in multiple doses. They nearly became bankrupt In walks B illGates Saves the day.,0,0,No Location,2022-03-13
1502933102498181122,1466683352505749507,thetruthb3t0ld,Moderna and NIH were on to it first but Pfizer had the reputation and power to sell it,0,0,No Location,2022-03-13
1502932998215417856,26347653,AutomaticEarth,Debt Rattle March 13 2022 #ColdWar #FiatCurrencies #garbage #inflation #leukemia #Moderna #options #Putin #sanctions #Ukraine,0,0,Atlantic Ocean,2022-03-13
1502932679066624001,933450200361947136,MoveOverThere,That may not be the biggest scandal.. Pfizer and the FDA have that box ticked.,0,0,UK,2022-03-13
1502932184063262722,633118040,pgRecycles,Vaxxed with J &amp J then boosted with Moderna been masking and keeping away from people I have not been sick with anything since before Covid began #Scienceworks,0,0,"Chicago Heights, IL",2022-03-13
1502932017184481285,1420765379975127045,ScottFr63415239,I never had Covid I'm in same boat triple vaccinated moderna,0,0,No Location,2022-03-13
1502931532767408133,779982053248864256,berwick_gloria,No more vaccines thanks,0,0,No Location,2022-03-13
1502931362583613441,1456081524827332615,Storiesofinjury,Kellai Rodriguez 35 Year Old With Severe Adverse Reactions From Moderna COVID Vaccine #ExposeModerna Full story here:,4,3,Following The $cience™,2022-03-13
1502930724915195905,1323875742250373120,SkippityC,"People ignorant:Pfizer 9pg Adverse Reactions/deaths released 3/2022,dated 01/2021.Wanted it hid for 75yrs,someone sued.See videos 400+athletes drop/die last Jimmy Dore Show.Moderna PATENTED DNA sequence in VIRUS in 2016.PLANdemic per Psaki.",0,0,No Location,2022-03-13
1502930205270228994,1352709969452347392,Gillwill19,You are very wrong Pfizer CEO is culpable as is Moderna Why you seek to absolve him of guilt is strange he's still pushing jab 4 ffs.,0,0,"Scotland, United Kingdom",2022-03-13
1502930148735209472,1473513771775709185,JMRosenthal513,I am triple vaxxed with Moderna and thanks God I have not caught COVID and pray I never do I still wear my mask in my home lobby and in supermarkets and office buildings.,1,1,No Location,2022-03-13
