tweet_id,user_id,username,text,like_count,retweet_count,location,creation_date_time
1502900173445296136,489184831,chovue,sigh youre the one in the dark If you truly dont want to research it thats on you Im not here to be your baby sitter I already told you that what you need to do Follow the fukin money and research covaxin SHEESH,0,0,No Location,2022-03-13
1502897042334519301,489184831,chovue,jnj is based on adenovirus tech Covaxin is based off polio's technology of a traditional approach go do some homework sorry but you really reallllllly need to research more or your fellow loved ones and yourself will continue to be one the wrong side,0,0,No Location,2022-03-13
1502896817314607107,3259025400,CaptainXemo,I don't care about covaxin No do your own work Present your own sources I will not do it for you,0,0,No Location,2022-03-13
1502896236264771585,489184831,chovue,lol see my point exactly no buddy I am talking about covaxin vaccine SIGH go do some homework go research covaxin vaccine peer review lancet journal understand the tech understand its safety and understand why its not here in merka say sorry i forgive you,0,0,No Location,2022-03-13
1502895293242748930,1488528579910684684,Nii_Anue_Q,I’m with you all the way Covaxin is the foot in the door OCGN baby steps,0,0,No Location,2022-03-13
1502893550832398338,937017569843777536,HarlempedsMD,3 So let's not conflate use of a whole virus w mismatched strains Yes use of a whole virus vs parts may ⬆️immunogenicity but with ⬆️reactions And if not based on current strain won't be as effective Covaxin is whole virus COVID19 vax based on a 2020 SARSCoV2 strain,0,0,No Location,2022-03-13
1502891586694180868,1464833161511194627,FireTruck108,Is Covaxin approved by EU UK AUS CAN etc,0,0,No Location,2022-03-13
1502886585813012482,1456365100697219086,FullTimeDreamir,The studies coming out on vaccines and grey brain matter are scary Why would anyone take a chance with an entire generation our future generation COVAXIN,1,0,No Location,2022-03-13
1502885615720837120,489184831,chovue,Like I SAID follow the money MRNA shots are garbage and they just obtained billions of dollars because of people like you who fear of questioning if it is as safe and effective as they claim it to be sigh go research covaxin peer review by lancet journal,0,0,No Location,2022-03-13
1502885276992954369,1266788642841903105,TimesMaithili,+91 88266 04947 AIIMS Booster dose no for trial of Nasal Spray Send WhatsApp Request 7 months gap after second dose of COVAXIN or COVISHIELD please send second dose vaccination certificate also 2nd vaccine dose should be in btw Aug to oct,2,0,No Location,2022-03-13
