tweet_id,user_id,username,text,like_count,retweet_count,location,creation_date_time
1502885637086609411,1455052349228023814,AndrewTRei1,I will correctly remind people yet again that the only country's vaccine that's worse than China's is Russia's Sputnik vaccine,2,1,No Location,2022-03-13
1502873976716107776,1498608701653102594,hamzaouihazim0,Local businessman first to take Sputnik V jab,0,0,No Location,2022-03-13
1502854289064173580,269110574,PolStuff,Could it be that Putin has gone insane from taking the Sputnik vaccine,0,0,No Location,2022-03-13
1502846122129334276,1199410182230548480,cealaigi,Anyway sanctions have already hit pharma with sputnik v production halted in Germany and financial sanctions making production elsewhere very difficult Was due to be supplied to countries like Zambia in the global South pending WHO approval,2,1,No Location,2022-03-13
1502845215161602050,1502842093592580103,chicken_mcnug_,Tucker admits to being Russian sleeper cell after Russian sputnik vaccine microchips overtake brain's reasoning center,1,1,No Location,2022-03-13
1502842898362306562,34245009,indiatvnews,COVID19 India's vaccination coverage crosses 180 crore landmark CoronavirusUpdates Corona,5,0,India,2022-03-13
1502839375775862790,211846145,kingtungsten,Sputnik V The Story Of Russia's Controversial COVID-19 Vaccine Imagine that the country that would’ve benefited the most from creating a virus to soften the west developed a vaccine the quickest What a coincidence,0,0,United States of America,2022-03-13
1502837206536257543,2342883930,SAAI_sai,ModiRegime's love for Sputnik vaccine in the very initial days of Covid vaccination reminds us strong friendship between Modi and Putin The landslide victory of BJP in recently concluded state elections at a when anti-Modi sentiment is picking up momentum even in his,0,0,"Hyderabad, India",2022-03-13
1502808931176890372,1411242825241358336,pybich,Except for the Sputnik vaccine I hope Gross,1,0,Socialist Republic of Vietnam,2022-03-13
1502804100240580611,1360633828663037952,martinx_paul,Remember when Russia was one of the first to develop a Covid vaccine called Sputnik that amazingly had the courage to declare safe effective Yet a vile repugnant terrorist org immediately began threatening countries trying to save their populations 1M US Dead,1,0,No Location,2022-03-13
1502802331162882052,1175946325504024578,KentDuvar,There none mRNA vaccines AstraZeneca and J J we're adenovector vaccines with partial virus in them Sputnik V contains actual viral material Looking at the adverse event data I have more trust in the mRNA safety although I had a dose of AZ without side effects,0,0,"Waterloo, Ontario",2022-03-13
1502795666799853568,82334315,Prabhu_DS,Difference between COVAXIN COVISHIELD and SPUTNIK V Corona Virus Vaccines As the world prepares to vaccinate human beings every country is prabhuwrites prabhu hymprudious differencebetweencoronavirusvaccines,0,0,"Narasinghpur, Odisha, India",2022-03-12
1502773203130892296,1356094902107574272,WalterSchmitt12,It's the sputnik vaccine Putin put a chip in it to read the minds of people Far more advanced than Bill Gates,0,0,No Location,2022-03-12
1502765925027700739,33021462,gentieuink,Not to mention the Sukhoi fighter jets Kalashnikov rifles border spec ops the hot cold case of the russian venezuelan submarine deal and not least probably not last Sputnik V covid-19 vaccine But hey,0,0,a la deriva,2022-03-12
1502757519416238080,131435363,bayagnizayn,dis fr is some cursed ass menu why is there no sputnik v also wtf is up with the kerning,0,0,No Location,2022-03-12
1502745984283066374,1369983626453078023,paulant48766352,Because the Sputnik vaccine has been proven not to work at all,0,0,The Peaceful World.,2022-03-12
1502740805966041096,1202257709971591169,wang_wangping,The grievances between Ukraine and Russia how the two countries changed from brothers to enemies Detailing Ukrainian history,0,0,Macau,2022-03-12
1502739075496771584,39404191,bluefuze,Ah it’s because it’s an unapproved vaccine Never even heard of that one Sputnik hey Don’t blame Canada for not approving it Why don’t you go to Russia instead Since it sucks so much here you should go there instead,0,0,No Location,2022-03-12
1502728465304350724,1454332353845755908,JordanZansky,In Russia you can only get the Sputnik vaccine Despite being vaccinated she cannot come to Canada because the Sputnik vaccine is not approved My suffering girlfriend cannot come to Canada because we have vaccine mandates This is one reason people are protesting,1,0,No Location,2022-03-12
1502722945566740482,1498522014906077185,SlavaUkraini380,WHY NOT TAKE THE SPUTNIK VACCINE since you love the terrorist despot Putin so much HYPOCRITE,0,0,No Location,2022-03-12
1502717554871185408,16960647,mcgT,Putin's disinformation about Pfizer vaccine to help Sputnik V vax backfired Only 50 of Russians double vaxxed His authoritarian regime is lying severely under reporting covid deaths,0,0,No Location,2022-03-12
1502716954548871170,1295971015068209152,NgRubix,And what if you have been vaxxed with some Sputnik V vaccine Do you tend to blame the 'west Asking for a friend 🧐,2,0,No Location,2022-03-12
1502716328142159878,23188759,jtwigg9,But most definitely NOT Sputnik V,3,0,"Richmond, VA, USA",2022-03-12
1502715875614408704,1347698174635499521,Grooverecords1,Sigue Sigue Sputnik Love Missile F1-11 Twelve Inch Japanese V by Groovevinylstore via vinyl vinylrecords vinylcollector music SaturdayThoughts vintage etsy vinylcommunity groovevinyl vinyljunkie Caturday groovevinyl ENGvIRE,0,0,No Location,2022-03-12
1502708360856100865,1498098608029245445,SamOharaNH,I am so glad you were vaccinated Glad you had mild symptoms Over a million people did not have the luxury and are dead RNA a is not exactly a vaccine you are right unless you took Sputnik or the Chinese vaccines that are exactly as you described,0,0,No Location,2022-03-12
1502707066976174080,1392274772554260483,Chris34883890,Sanctions and Supply Chains Russia’s Sputnik COVID-19 Vaccine created a Large opportunity for Covaxin in Mexico and SO America With Data from 2 Dose AstraZeneca trial using Covaxin as Booster -2B Released Soon Better Opp than USA or Canada,29,7,No Location,2022-03-12
1502705293477699594,392507132,parthurleonard,Note it's Phizer and not Sputnik V,0,0,"Cape Town, South Africa",2022-03-12
1502704001950920704,1164907412630827008,pwnyybattles,Live feed of Kyiv Kiev Ukraine WATCH LIVE Ukraine Russia Kyiv Kiev UkraineRussia UkraineInvasion UkraineUnderAttack UkraineWar russianinvasion RussiaUkraineWar RussiaInvadedUkraine RussiaUkraine,0,0,Gothenburg,2022-03-12
1502703635536527367,34010230,SquidScream,Putin said he was fully vaccinated against the Omricon Covid Variant with the Sputnik V vaccine But lets hope he has the same antidote of Yassir Arafat to Polonium-201 sprinkled on his cornflakes,0,0,"White Oak,Texas",2022-03-12
1502694217604386818,845499840,daniantodes,I got third vaccine when's next Is there sputnik by Putin,0,0,No Location,2022-03-12
1502689188457910277,811972460560019456,republic,GreatAmericanFall We've waited for the Ukraine President to reach out for days now we are still to hear from them We have to wait out and see what happens with the discussion Tatyana Kukhareva Deputy Chief Sputnik Websites from Moscow,28,4,"Mumbai, India",2022-03-12
1502687998311387139,3104481611,BgProtesti,I'm so sorry for you Abby This whole thing looks so intentional Demonetizing creators based on natiinality banning shows regardless of the topic canceling Russian scientists Sputnik V writers composers artists It's horrible Even nazzis weren't that sanctioned von Braun,5,3,Bulgaria,2022-03-12
1502687109399912455,1476200175777587205,UlyssesInExile,Remember the Sputnik vaccine and Sinovac Both premiered prior to West’s vaccines to wide media acclaim But with Xi’s non travel the Changchun lockdown the laughter over Putin’s giant tables isolation the non success of their vaccines should be re-examined by global media,0,0,No Location,2022-03-12
1502680652369571851,1088077237629390850,IsabelB78314293,In Argentina the government loves Putin and bought them the Sputnik vaccine 🤦🏻‍♀️ Still russian owe us a lot of vaccines already paid specially 2d dose,3,0,"California, USA",2022-03-12
1502678362803904518,144834495,RTShark,One of the best thing the west can do right now is get the Ukrainian military and citizens vaccinated History says disease will ruin the army that isn't vaccinated Moderna vs Sputnik vaccine is a thing,0,0,"Florida, USA, Planet Earth",2022-03-12
1502644207042899983,1485227046641221634,AmitrraGautam,I have a flight from moscow to India and i am fully vaccinated by Sputnik v double dose Should i need corona report or not Please help,0,0,No Location,2022-03-12
1502630592382386179,1081662050466742272,Cliffor01051440,Russia's bioweapon conspiracy theory finds support in US via Putin CLAIMS to have a Sputnik vaccine Where is it,0,0,No Location,2022-03-12
1502621276745129988,1127029609898364928,LasseKaragiann3,Hey Putin you should stop inculcate the population with the Suptnik V death vaxx Do you see any common denominator Alexender Ginsburg -Sputnik V Tal Zaks -Moderna Michael Dolstein Pfizer,0,0,Sweden,2022-03-12
1502600648688340994,1347698174635499521,Grooverecords1,Sigue Sigue Sputnik Love Missile F1-11 Twelve Inch Japanese V by Groovevinylstore via vinyl vinylrecords vinylcollector music SaturdayMorning SaturdayThoughts vintage etsy vinylcommunity groovevinyl vinyljunkie Caturday groovevinyl,0,0,No Location,2022-03-12
1502599292066086912,904450515240599552,DC_Gurugram,2 Only second dose of Sputnik V will be available at Polyclinic Sector-31 tomorrow 3 International travellers education job only can head to Polyclinic Sector-31 for their second dose of Covishield 50 doses will be available,1,0,"गुड़गांव, भारत",2022-03-12
1502596234812420097,1497104923024302081,MarginalAB1,North advance is V for Volodymyr and from the East Z for Zelenskyy Putin really really doesn’t like Ukraine’s heroic and charismatic Prez And he is nothing if not petty 😬,0,0,"Sydney, New South Wales",2022-03-12
1502595781857005568,1465708631475703811,energiepirat,Recently we see many Russian equipment with a V instead of a Z What is it about,0,0,Bavarian Woods ,2022-03-12
1502595598637273088,1501534300998676482,MravenecZet,when Russia helped us last year with Sputnik V they got hate speech from you for reciprocity oh Mrs President you are such a clown and comedian almost as Mr Zelensky,0,0,No Location,2022-03-12
1502560340894179328,1163021262735777792,Darek28013567,In my opinion the main cause lies in the Sputnik vaccine the side effects are probably permanent and irreversible Putin alone probably took 6 doses not to mention the rest of the population,1,1,"Steenwijkerland, Nederland",2022-03-12
1502556424081129474,4731154187,s_considine1,He developed a vaccine FIRST and the Experts said that Sputnik was rushed while also expressing concerns about its safety and effectiveness,0,0,"New York, Florida, and Texas",2022-03-12
