tweet_id,user_id,username,text,like_count,retweet_count,location,creation_date_time,sentiment
1.50E+18,1.06E+18,LynnNMonteith1,I just love this Moderna is next Promise,3,0,No Location,12/3/2022,POSITIVE
1.50E+18,1.41E+18,ASEANNOWPH,DOH Filipinos hesitant to get Sputnik V COVID-19 jabs due to delivery delays,0,0,Manila,11/3/2022,NEUTRAL
1.50E+18,439306202,cyre2067,So glad I didn't get the injections,0,0,America,18/3/2022,NEGATIVE
1.50E+18,1.46E+18,pfizerlot,Edward Dowd Explains Bombshell ‘Fraud Charge re Pfizer Hiding Deaths Data Naomi Wolf via,1,3,STOLEN KANATA,13/3/2022,NEUTRAL
1.50E+18,53079318,yummyroll,And I love it when the British Medical Journal is highly critical at Pfizer for keeping their safety data on this covid vaccine from researchers…no transparency trust science my buttocks…,0,0,No Location,13/3/2022,NEGATIVE
1.50E+18,2847456599,DixiDame,Moderna vaccine X2 booster flu shot and pneumonia vaccine He still got covid and died Big pharma I have questions,2,1,No Location,18/3/2022,NEGATIVE
1.50E+18,1.38E+18,KapteinKakhuis,I wonder if eNCA read the Pfizer docs that were released The c0v1d narrative is over its Russia now,0,0,"Cape Town, South Africa",13/3/2022,NEUTRAL
1.50E+18,1.40E+18,DefundtheLeafs,People would like to see an article on the recent Pfizer data released the 9 pages of side effects that they tried to bury for 75yrs seems to be quite concerning The bacterial filled masks that’s a whole different set of data,3,0,"Barrie, Ontario",13/3/2022,NEUTRAL
1.50E+18,1.46E+18,HeartCoherance,Read the Pfizer data release and you will know their genocide jab is killing people FauxChi went into witness protection after it was court-ordered to be released They lied and people died and still are Pfizer also requested from SEC to be delisted from the NYSE as of 3 18,0,0,USA,13/3/2022,NEGATIVE
1.50E+18,1.46E+18,violetfemme07,Pro health not anti v I'd also like to know if the Pfizer was only tested on healthy adults how do we know its effects on those with underlying conditions And how do we know about any long term effects i e effects on fertility,6,0,No Location,13/3/2022,NEUTRAL
1.50E+18,1.48E+18,AliwenSenhai,My cousin in england was three months blind coz of pfizer jab Your friend is not alone,1,0,No Location,13/3/2022,NEGATIVE
1.50E+18,1.24E+18,lilmikeqt,How is he ignorant for not getting the vaccine please explain that to me The vaccine is proven not to prevent covid or the spread of covid it just reduces the severity of it So why would someone have to get it It does nothing towards protecting others,1,0,No Location,18/3/2022,NEGATIVE
1.50E+18,9.46E+17,JustineMK07,Me when I find Cyril Ramaphosa and ask him if he thinks South Africans are stupid after he got his pfizer booster shot a week after the leak of side effects,1,0,No Location,13/3/2022,NEUTRAL
1.50E+18,1.44E+18,GellatlyBayJ,Ya he's pretty weird I've spoke with many doctors who refused to be involved in pushing the vaccine to their patients I know that doesn't make me a doctor any more then you're a doctor for having your doctor push poison on you You should take the Pfizer report to him her,0,0,No Location,13/3/2022,NEUTRAL
1.50E+18,453472835,mckenziegrieve,Your going ahead with this after the recently released Pfizer report which Pfizer were ordered by courts to release Damming evidence of its side affects short long term and many deaths caused by vax injury MAKE PARENTS AWARE OF THE DANGERS Before they sacrifice their kids,2,0,No Location,13/3/2022,NEGATIVE
1.50E+18,1.47E+18,hokartistry,pfizer data drops and msm is nowhere to be found Narrative is changing fauci is in hiding TrudeauMustGo ignores it all Our phac that approved it knowing it was going to kill people This is called Democide,0,0,Canada,13/3/2022,NEGATIVE
1.50E+18,2272118538,aimanjkhan,I didn't get covid but getting both the vaccine shots itself screwed up my cycle entirely It was so painful that even walking became difficult for first 2-3 days,0,0,"New Delhi, India",18/3/2022,NEUTRAL
1.50E+18,1.27E+18,SciscoreReports,The preprint COVID-19 Vaccine Hesitancy among Marginalized Popu… has been reviewed by automated tools find results here We detected 0 of 5 rigor criteria and 5 resources,0,0,No Location,18/3/2022,NEUTRAL
1.50E+18,1.10E+18,EliMart09804240,pfizer Thank you for speaking out,1,0,Wherever the brave are.,13/3/2022,NEUTRAL
1.50E+18,1.01E+18,kjblogs1984,And why 12 weeks between 1st and 2nd doses Pfizer recommendation is 21 days Parents taking their children abroad to get what should be available here can have their children fully vaccinated before the rest are even offered a 1st dose Potentially even 6 months sooner 6,5,2,"England, United Kingdom",13/3/2022,NEUTRAL
1.50E+18,842224848,DrDan20000,moderna Eric is it possible that Five Days was not enough time to consider the many other functions and effects of spike protein,0,0,Desert Mountain,12/3/2022,NEUTRAL
1.50E+18,1.14E+18,getifayabassa,Every Covid death and every Covid vaccine death is parked squarely on the doorstep of ModeRNA,0,0,Dystopia,11/3/2022,NEGATIVE
1.50E+18,1.26E+18,ling55170217,The Comintern is a cult a force of evil The Chinese Communist Party is killing humans with biochemical weapons Covid-19 and vaccines Don't get the Covid-19 vaccine,0,0,No Location,18/3/2022,NEGATIVE
1.50E+18,166641488,TexanForTrump45,Emerald Robinson is at the cutting edge of COVID vaccine journalistc research Why your kids shouldn't get jabbed I ate at a small TexMex yesterday Their TV was on Univision Ad after ad for getting the jab Ads paid for by the FEDERAL HHS Shameful,1,0,The Great State of Texas HTown,18/3/2022,NEUTRAL
